CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN 1,NUMERO,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
54505,AEROPUERTO,36.6760678,-4.4879567,AVENIDA COMANDANTE GARCIA MORATO,0,29140,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54505.pdf,
54407,ALJAIMA,36.733092,-4.664725,CARRETERA A-7054 - ESTACION FERROCARRIL,0,29580,Cártama,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54407.pdf,
54405,ALORA,36.819838,-4.699623,CALLE ESTACION FERROCARRIL,2,29510,Álora,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54405.pdf,
54511,BENALMADENA-ARROYO DE LA MIEL,36.599091,-4.536341,AVENIDA DE LA ESTACION,3,29631,Benalmádena,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54511.pdf,
54410,CAMPANILLAS,36.705011,-4.545516,CALLE ALMENCINO - ESTACION FERROCARRIL,0,29196,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54410.pdf,
54408,CARTAMA,36.7334013,-4.6093394,BARRIADA GARCIA AGUA,0,29580,Cártama,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54408.pdf,
54513,CARVAJAL,36.570308,-4.594023,CALLE SIERRA DE CAZORLA,0,29640,Fuengirola,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54513.pdf,
54510,EL PINILLO,36.6101783,-4.5146208,DECANOM JUAN DE HOYOS,0,29620,Torremolinos,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54510.pdf,
54516,FUENGIROLA,36.546263,-4.6203322,AVENIDA JESUS SANTOS REIN,0,29640,Fuengirola,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54516.pdf,
54503,GUADALHORCE,36.6921154,-4.4831263,CALLE CESAR VALLEJO - ESTACION FERROCARRIL,0,29004,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54503.pdf,
54508,LA COLINA,36.6401889,-4.4952547,URBANIZACION LA COLINA,0,29620,Torremolinos,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54508.pdf,
54518,LOS ALAMOS,36.6452816,-4.4848827,CALLE MENTON,0,29620,Torremolinos,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54518.pdf,
54515,LOS BOLICHES,36.5515902,-4.6166673,AVENIDA DE LOS BOLICHES,0,29640,Fuengirola,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54515.pdf,
54412,LOS PRADOS,36.6988637,-4.4778853,CALLE CAMINO PRADOS,0,29006,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54412.pdf,
54413,MALAGA MARIA ZAMBRANO,36.7113412,-4.4328779,CALLE EXPLANADA DE LA ESTACION,0,29002,Málaga,Málaga,,
54517,MALAGA-CENTRO ALAMEDA,36.71965,-4.420019,AVENIDA AURORA,0,29002,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54517.pdf,
54519,MONTEMAR ALTO,36.6138194,-4.5089797,JACINTO MESA,0,29620,Torremolinos,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54519.pdf,
54406,PIZARRA,36.765619,-4.7111214,PLAZA ESTACION FERROCARRIL,0,29569,Pizarra,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54406.pdf,
54520,PLAZA MAYOR,36.6560328,-4.4800137,CALLE ALFONSO PONCE DE LEON,0,29004,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54520.pdf,
54514,TORREBLANCA,36.5636,-4.60966,CALLE PUEBLA BLANCA,0,29640,Fuengirola,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54514.pdf,
54509,TORREMOLINOS,36.6253108,-4.4966871,PLAZA DE LA NOGALERA,0,29620,Torremolinos,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54509.pdf,
54512,TORREMUELLE,36.5798535,-4.573148,URBANIZACION TORREMUELLE,0,29639,Benalmádena,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54512.pdf,
54501,VICTORIA KENT,36.6962281,-4.4652369,PLATERO FRANCISCO VAZQUEZ,0,29003,Málaga,Málaga,https://data.renfe.com/files/estaciones/FichaEstacion54501.pdf,
